BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
Q220,2014-15,2015-01-29T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
R861,2014-15,2015-01-29T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q066,2014-15,2015-01-29T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X140,2014-15,2015-01-30T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X159,2014-15,2015-01-30T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X498,2014-15,2015-01-30T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K677,2014-15,2015-01-30T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K264,2014-15,2015-01-30T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K299,2014-15,2015-01-30T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M148,2014-15,2015-01-30T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K668,2014-15,2015-01-30T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M347,2014-15,2015-01-30T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q120,2014-15,2015-01-30T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K013,2014-15,2015-01-30T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X307,2014-15,2015-02-02T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q159,2014-15,2015-02-02T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q250,2014-15,2015-02-02T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X004,2014-15,2015-02-03T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X209,2014-15,2015-02-03T00:00:00.000,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X548,2014-15,2015-02-03T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X721,2014-15,2015-02-03T00:00:00.000,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K705,2014-15,2015-02-03T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M020,2014-15,2015-02-03T00:00:00.000,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M098,2014-15,2015-02-03T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q025,2014-15,2015-02-03T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q480,2014-15,2015-02-03T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
R051,2014-15,2015-02-03T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X042,2014-15,2015-02-04T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X213,2014-15,2015-02-04T00:00:00.000,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X277,2014-15,2015-02-04T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K223,2014-15,2015-02-04T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K385,2014-15,2015-02-04T00:00:00.000,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K611,2014-15,2015-02-04T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q080,2014-15,2015-02-04T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q113,2014-15,2015-02-04T00:00:00.000,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q171,2014-15,2015-02-04T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X168,2014-15,2015-02-05T00:00:00.000,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X279,2014-15,2015-02-05T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X280,2014-15,2015-02-05T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X299,2014-15,2015-02-05T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X519,2014-15,2015-02-05T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K066,2014-15,2015-02-05T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K095,2014-15,2015-02-05T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K349,2014-15,2015-02-05T00:00:00.000,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K369,2014-15,2015-02-05T00:00:00.000,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K532,2014-15,2015-02-05T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K557,2014-15,2015-02-05T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M143,2014-15,2015-02-05T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M514,2014-15,2015-02-05T00:00:00.000,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M539,2014-15,2015-02-05T00:00:00.000,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q108,2014-15,2015-02-05T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q156,2014-15,2015-02-05T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q199,2014-15,2015-02-05T00:00:00.000,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q244,2014-15,2015-02-05T00:00:00.000,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X051,2014-15,2015-02-06T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X127,2014-15,2015-02-06T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X157,2014-15,2015-02-06T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X473,2014-15,2015-02-06T00:00:00.000,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K326,2014-15,2015-02-06T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K663,2014-15,2015-02-06T00:00:00.000,No Data,WD,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M505,2014-15,2015-02-06T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M825,2014-15,2015-02-06T00:00:00.000,No Data,D,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q085,2014-15,2015-02-06T00:00:00.000,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q174,2014-15,2015-02-06T00:00:00.000,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q306,2014-15,2015-02-06T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K016,2014-15,2015-02-09T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K078,2014-15,2015-02-09T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K303,2014-15,2015-02-09T00:00:00.000,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K327,2014-15,2015-02-09T00:00:00.000,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K600,2014-15,2015-02-09T00:00:00.000,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K748,2014-15,2015-02-09T00:00:00.000,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M417,2014-15,2015-02-09T00:00:00.000,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M128,2014-15,2015-02-09T00:00:00.000,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X145,2014-15,2015-02-10T00:00:00.000,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
